Date,Country,City,Specie,count,min,max,median,variance
28/12/2020,IN,Bengaluru,dew,202,8,18,13,58.2
28/12/2020,IN,Bengaluru,dew,209,7.5,18,12.5,94.21
28/12/2020,IN,Bengaluru,dew,180,19,22,20,7.22
28/12/2020,IN,Bengaluru,dew,182,16,19,18,6.31
28/12/2020,IN,Bengaluru,dew,214,13,21,18,64.83
28/12/2020,IN,Bengaluru,dew,202,12,19,15,55.17
28/12/2020,IN,Bengaluru,dew,214,1,16.5,11,273.58
28/12/2020,IN,Bengaluru,dew,162,18,21,19,4.53
28/12/2020,IN,Bengaluru,dew,204,14.5,19,17,5.83
28/12/2020,IN,Bengaluru,dew,204,11,19,14,32.77
28/12/2020,IN,Bengaluru,dew,214,15,20,18,12.88
29/12/2020,IN,Bengaluru,dew,202,17,20,19,4.22
29/12/2020,IN,Bengaluru,dew,186,20,22.5,21,5.03
29/12/2020,IN,Bengaluru,dew,165,19,22,21,2.21
29/12/2020,IN,Bengaluru,dew,179,17.5,21.5,20,3.9
29/12/2020,IN,Bengaluru,dew,174,10,17,16,53.34
29/12/2020,IN,Bengaluru,dew,212,12,19,16.5,42.56
29/12/2020,IN,Bengaluru,dew,211,7,17.5,13,70.51
29/12/2020,IN,Bengaluru,dew,193,16,20.5,19,11.27
29/12/2020,IN,Bengaluru,dew,103,9,17.5,15.5,73.61
29/12/2020,IN,Bengaluru,dew,192,17,21,19,12.67
29/12/2020,IN,Bengaluru,dew,214,16.5,21,19,9.88
30/12/2020,IN,Bengaluru,dew,207,13,18,15,31.74
30/12/2020,IN,Bengaluru,dew,212,12,21,17.5,42.4
30/12/2020,IN,Bengaluru,dew,198,12.5,19,17.5,16
30/12/2020,IN,Bengaluru,dew,200,13.5,20,18,20.06
30/12/2020,IN,Bengaluru,dew,199,10.5,18,17,14.79
30/12/2020,IN,Bengaluru,dew,174,11,18,15,30.75
30/12/2020,IN,Bengaluru,dew,213,8.5,18,14,66.77
30/12/2020,IN,Bengaluru,dew,214,9.5,18,14.5,66.16
30/12/2020,IN,Bengaluru,dew,184,1,17,9,232.33
30/12/2020,IN,Bengaluru,dew,207,15,20,18,16.92
30/12/2020,IN,Bengaluru,dew,136,17,20.5,19,5.14
31/12/2020,IN,Bengaluru,dew,169,14.5,19,18,7.88
31/12/2020,IN,Bengaluru,dew,204,8.5,19,16.5,114.17
31/12/2020,IN,Bengaluru,dew,214,2,17,12,177.32
31/12/2020,IN,Bengaluru,dew,213,11.5,20,17,39.95
31/12/2020,IN,Bengaluru,pm10,225,5,221,58,5227.48
31/12/2020,IN,Bengaluru,pm10,256,11,264,61,9727.81
31/12/2020,IN,Bengaluru,pm10,239,24,122,83,6033.47
31/12/2020,IN,Bengaluru,pm10,249,23,158,72,6666.06
31/12/2020,IN,Bengaluru,pm10,219,2,895,58,39719.2
31/12/2020,IN,Bengaluru,pm10,243,3,157,66,5351.68
31/12/2020,IN,Bengaluru,pm10,249,3,255,40,6174.31
01/01/2021,IN,Bengaluru,pm10,243,11,240,43,14409.5
01/01/2021,IN,Bengaluru,pm10,179,34,295,69,8687
01/01/2021,IN,Bengaluru,pm10,259,2,162,52,6210.74
01/01/2021,IN,Bengaluru,pm10,232,4,326,66,10441.1
01/01/2021,IN,Bengaluru,pm10,246,7,297,73,9528.22
01/01/2021,IN,Bengaluru,pm10,238,2,170,49,10900.7
01/01/2021,IN,Bengaluru,pm10,233,2,394,19,8871.13
01/01/2021,IN,Bengaluru,pm10,248,14,81,33,2344.06
01/01/2021,IN,Bengaluru,pm10,236,23,122,71,3606.64
01/01/2021,IN,Bengaluru,pm10,230,23,496,69,15707.3
01/01/2021,IN,Bengaluru,pm10,239,3,633,21,23386.2
02/01/2021,IN,Bengaluru,pm10,210,1,234,55,7183.02
02/01/2021,IN,Bengaluru,pm10,235,6,192,59,6859.82
02/01/2021,IN,Bengaluru,pm10,242,1,177,67,5393.43
02/01/2021,IN,Bengaluru,pm10,255,1,178,47,7826.2
02/01/2021,IN,Bengaluru,pm10,246,23,110,75,3871.16
02/01/2021,IN,Bengaluru,pm10,219,3,170,51,7330.3
02/01/2021,IN,Bengaluru,pm10,223,6,235,62,7532.38
02/01/2021,IN,Bengaluru,pm10,257,21,895,73,67287.9
02/01/2021,IN,Bengaluru,pm10,253,18,228,46,3875.37
02/01/2021,IN,Bengaluru,pm10,224,1,135,56,4879.29
02/01/2021,IN,Bengaluru,pm10,202,2,332,59,9359.3
03/01/2021,IN,Bengaluru,pm10,247,6,323,69,8028.89
03/01/2021,IN,Bengaluru,pm10,252,23,674,66,20586.6
03/01/2021,IN,Bengaluru,pm10,258,1,159,53,5894.79
03/01/2021,IN,Bengaluru,pm10,178,3,321,60,8837.31
03/01/2021,IN,Bengaluru,pm10,207,10,313,70,5009.53
03/01/2021,IN,Bengaluru,pm10,237,18,337,64,10158.9
03/01/2021,IN,Bengaluru,pm10,260,15,337,64,8891.14
03/01/2021,IN,Bengaluru,pm10,152,7,147,68,6194.58
03/01/2021,IN,Bengaluru,so2,237,0.2,14.1,3.1,69.13
03/01/2021,IN,Bengaluru,so2,232,0.1,7.5,3.5,42.23
03/01/2021,IN,Bengaluru,so2,252,0.2,18.8,2.8,46.99
04/01/2021,IN,Bengaluru,so2,239,0.2,29.8,2.8,52.61
04/01/2021,IN,Bengaluru,so2,240,0.2,7.4,2.7,23.75
04/01/2021,IN,Bengaluru,so2,153,0.3,6.3,3.5,24.43
04/01/2021,IN,Bengaluru,so2,254,0.1,12,3.6,51.34
04/01/2021,IN,Bengaluru,so2,258,0.1,8.6,2.5,37.27
04/01/2021,IN,Bengaluru,so2,240,0.1,10.4,3.2,27.83
04/01/2021,IN,Bengaluru,so2,253,0.1,10.5,2.5,52.52
04/01/2021,IN,Bengaluru,so2,236,0.1,63.5,3.4,641.21
04/01/2021,IN,Bengaluru,so2,260,0.1,9.3,2.7,22.98
04/01/2021,IN,Bengaluru,so2,229,0.4,10.6,3.2,46.4
04/01/2021,IN,Bengaluru,so2,255,0.4,9.2,2.7,33.87
05/01/2021,IN,Bengaluru,so2,204,0.4,8.1,3,22.57
05/01/2021,IN,Bengaluru,so2,232,0.2,10.9,3.1,25.18
05/01/2021,IN,Bengaluru,so2,241,0.1,8.6,3.3,21.43
05/01/2021,IN,Bengaluru,so2,247,0.1,7.7,3.2,25.3
05/01/2021,IN,Bengaluru,so2,229,0.1,35.2,3.3,271.92
05/01/2021,IN,Bengaluru,so2,234,0.2,9.9,3.6,54.3
05/01/2021,IN,Bengaluru,so2,250,0.1,10.3,2.7,44.12
05/01/2021,IN,Bengaluru,so2,216,0.2,16.3,3,36.94
05/01/2021,IN,Bengaluru,so2,241,0.2,11.1,2.6,41.11
05/01/2021,IN,Bengaluru,so2,179,0.4,5.8,2.9,16.32
05/01/2021,IN,Bengaluru,so2,259,0.1,10.2,3.1,46.11
06/01/2021,IN,Bengaluru,so2,249,0.2,10.9,3.5,46.04
06/01/2021,IN,Bengaluru,so2,260,0.1,9.7,3.1,35.89
06/01/2021,IN,Bengaluru,so2,224,0.4,9,3.2,20.12
06/01/2021,IN,Bengaluru,so2,245,0.1,35.3,3.6,446.66
06/01/2021,IN,Bengaluru,so2,214,0.1,37.8,3.2,278.09
06/01/2021,IN,Bengaluru,so2,230,0.3,8.3,2.6,32.28
06/01/2021,IN,Bengaluru,so2,241,0.1,7.3,3.2,30.47
06/01/2021,IN,Bengaluru,so2,240,0.1,13.2,3.6,37.85
06/01/2021,IN,Bengaluru,so2,251,0.3,10.7,3.4,36.67
06/01/2021,IN,Bengaluru,so2,251,0.2,6.2,2.5,16.97
06/01/2021,IN,Bengaluru,so2,234,0.2,9.6,3.6,29.56
07/01/2021,IN,Bengaluru,so2,255,0.3,8.6,2.4,30.59
07/01/2021,IN,Bengaluru,no2,239,2.4,51.8,10.8,864.23
07/01/2021,IN,Bengaluru,no2,249,4,23.1,9,152.83
07/01/2021,IN,Bengaluru,no2,242,4,37,9.6,438.5
07/01/2021,IN,Bengaluru,no2,260,4.7,44.3,12.8,550.15
07/01/2021,IN,Bengaluru,no2,246,5.2,50.5,10.3,471.87
07/01/2021,IN,Bengaluru,no2,234,4.9,40.1,10.8,552.61
07/01/2021,IN,Bengaluru,no2,251,4.8,62.1,11.7,944.45
07/01/2021,IN,Bengaluru,no2,241,2.9,36.3,9.9,470.15
07/01/2021,IN,Bengaluru,no2,239,2.1,35.6,9.8,323.27
07/01/2021,IN,Bengaluru,no2,262,4.9,52.7,10.5,737.65
08/01/2021,IN,Bengaluru,no2,241,2.1,40.2,8.5,624.84
08/01/2021,IN,Bengaluru,no2,219,5,44.6,9.6,755.53
08/01/2021,IN,Bengaluru,no2,228,0.8,30.8,10.4,272.36
08/01/2021,IN,Bengaluru,no2,241,4.8,53.3,10.8,740.73
08/01/2021,IN,Bengaluru,no2,226,1.9,35.3,10.4,428.77
08/01/2021,IN,Bengaluru,no2,252,2.3,47.8,10,534.97
08/01/2021,IN,Bengaluru,no2,235,3.8,29.9,9.2,223.59
08/01/2021,IN,Bengaluru,no2,181,5.3,74.8,11.6,978.71
08/01/2021,IN,Bengaluru,no2,239,4.6,50.9,10.1,421.6
08/01/2021,IN,Bengaluru,no2,263,5,40,12.4,554.59
08/01/2021,IN,Bengaluru,no2,144,5.1,49.9,10.5,544.92
09/01/2021,IN,Bengaluru,no2,254,2.9,39.2,10.2,461.62
09/01/2021,IN,Bengaluru,no2,254,4,53.3,10.5,727.4
09/01/2021,IN,Bengaluru,no2,240,3.5,38.4,8.9,545.21
09/01/2021,IN,Bengaluru,no2,249,1.9,52.1,11.1,538.4
09/01/2021,IN,Bengaluru,no2,221,4.7,65.4,10.5,714.06
09/01/2021,IN,Bengaluru,no2,206,4.8,43.6,12.4,462.44
09/01/2021,IN,Bengaluru,no2,244,4.8,37.5,11.7,487.46
09/01/2021,IN,Bengaluru,no2,245,3.4,45.7,10.3,528.29
09/01/2021,IN,Bengaluru,no2,238,3.5,27.7,8.9,209.29
09/01/2021,IN,Bengaluru,no2,245,4.1,44.6,10.3,718.22
09/01/2021,IN,Bengaluru,no2,236,4.2,39.3,9.7,475
10/01/2021,IN,Bengaluru,no2,206,4.1,31,8.8,217.14
10/01/2021,IN,Bengaluru,no2,229,3.4,26.5,9.2,193.7
10/01/2021,IN,Bengaluru,no2,253,3.5,34.2,9.7,384.03
10/01/2021,IN,Bengaluru,no2,228,2.1,59.8,12.3,1275.42
10/01/2021,IN,Bengaluru,no2,227,4.3,52.1,9.8,1072.46
10/01/2021,IN,Bengaluru,co,227,0.5,23.5,4.7,104.99
10/01/2021,IN,Bengaluru,co,195,0.3,45.2,3.7,160.55
10/01/2021,IN,Bengaluru,co,233,0.7,12.7,5.4,80.53
10/01/2021,IN,Bengaluru,co,241,0.7,24.2,5.2,155.52
10/01/2021,IN,Bengaluru,co,227,0.2,86.3,5.6,5298.52
10/01/2021,IN,Bengaluru,co,239,0.8,37,4.4,217.21
11/01/2021,IN,Bengaluru,co,223,0.6,11.6,4.7,56.64
11/01/2021,IN,Bengaluru,co,219,0.5,52.8,4.5,189.83
11/01/2021,IN,Bengaluru,co,221,0.6,58.4,5.5,250.27
11/01/2021,IN,Bengaluru,co,235,0.6,18.1,4.4,83.82
11/01/2021,IN,Bengaluru,co,212,0.6,21.5,5.5,81.25
11/01/2021,IN,Bengaluru,co,225,0.3,12.9,5.1,77.26
11/01/2021,IN,Bengaluru,co,146,1.1,28.5,5.9,100.48
11/01/2021,IN,Bengaluru,co,238,0.1,20.7,5.2,92.05
11/01/2021,IN,Bengaluru,co,220,0.5,45.6,5.1,188.5
11/01/2021,IN,Bengaluru,co,232,0.6,31.5,4.7,159.24
11/01/2021,IN,Bengaluru,co,217,0.5,20.7,4.7,122.45
12/01/2021,IN,Bengaluru,co,237,0.8,22.5,4.6,67.33
12/01/2021,IN,Bengaluru,co,259,0.3,26.8,5.3,139.01
12/01/2021,IN,Bengaluru,co,230,0.4,86.3,5.3,2162.81
12/01/2021,IN,Bengaluru,co,230,0.3,86.3,5.5,3102.37
12/01/2021,IN,Bengaluru,co,227,0.3,12.2,4.4,61.64
12/01/2021,IN,Bengaluru,co,199,0.2,27.9,4.9,109.82
12/01/2021,IN,Bengaluru,co,208,0.5,47.6,5.1,183.11
12/01/2021,IN,Bengaluru,co,240,0.1,21.1,5.2,97.57
12/01/2021,IN,Bengaluru,co,227,0.4,37.2,5.2,153.57
12/01/2021,IN,Bengaluru,co,140,0.4,39.4,4.5,211.31
12/01/2021,IN,Bengaluru,co,212,0.5,11.5,4,49.29
13/01/2021,IN,Bengaluru,co,233,0.3,33.8,4.9,139.71
13/01/2021,IN,Bengaluru,co,191,0.4,16,5.2,74.48
13/01/2021,IN,Bengaluru,co,238,0.6,19.6,5.7,120.32
13/01/2021,IN,Bengaluru,co,221,0.7,20.9,4.8,100.45
13/01/2021,IN,Bengaluru,co,240,0.3,16.1,3.8,78.64
13/01/2021,IN,Bengaluru,co,244,0.5,21.8,4.3,83.28
13/01/2021,IN,Bengaluru,co,255,0.2,20.1,5.1,98.16
13/01/2021,IN,Bengaluru,co,239,0.5,86.3,5.4,4854.18
13/01/2021,IN,Bengaluru,co,231,0.5,52,4.5,198.33
13/01/2021,IN,Bengaluru,temperature,240,15.4,31.8,24.5,159.84
13/01/2021,IN,Bengaluru,temperature,227,16.1,30.2,24.7,128.12
14/01/2021,IN,Bengaluru,temperature,244,14.2,30.8,25,121.22
14/01/2021,IN,Bengaluru,temperature,242,18.9,32,25.4,95.92
14/01/2021,IN,Bengaluru,temperature,239,14.6,30.7,24.5,96.55
14/01/2021,IN,Bengaluru,temperature,244,15.3,35.9,24.5,143.41
14/01/2021,IN,Bengaluru,temperature,226,16.9,40,25.3,208.13
14/01/2021,IN,Bengaluru,temperature,228,17,31.2,26.5,114.94
14/01/2021,IN,Bengaluru,temperature,233,17,29.9,26.2,126.29
14/01/2021,IN,Bengaluru,temperature,228,16.3,38.6,24.5,132.17
14/01/2021,IN,Bengaluru,temperature,243,17,34.1,24.4,161.27
14/01/2021,IN,Bengaluru,temperature,243,16,31.3,25.3,152.23
14/01/2021,IN,Bengaluru,temperature,238,14.8,35.3,25.2,130.4
15/01/2021,IN,Bengaluru,temperature,205,16.7,22.2,24.3,927282
15/01/2021,IN,Bengaluru,temperature,135,17,28.9,24.5,127.27
15/01/2021,IN,Bengaluru,temperature,228,16.8,38.8,25.2,95.7
15/01/2021,IN,Bengaluru,temperature,231,17.8,33,24,116.75
15/01/2021,IN,Bengaluru,temperature,233,16.7,33.7,26,150.45
15/01/2021,IN,Bengaluru,temperature,227,16.5,38.3,26,151.43
15/01/2021,IN,Bengaluru,temperature,222,17.1,34.4,25.5,131.06
15/01/2021,IN,Bengaluru,temperature,227,16,39.3,26,195.14
15/01/2021,IN,Bengaluru,temperature,243,15.5,36.2,25.3,146.12
15/01/2021,IN,Bengaluru,temperature,239,17,37.1,25.3,142.58
15/01/2021,IN,Bengaluru,temperature,218,16.6,35.4,23.6,101.6
16/01/2021,IN,Bengaluru,temperature,222,17.6,39.1,24,109.17
